iid,buying_info,CommentCount,page,sale_num,origin_price,favorRate,default_praise_count,tags,price,stock,img,title
25379240,639人已抢,148,45,639,,97%,18,实惠|19	包装好|5	质量不错|4	正品|4	质量很好|3	物流慢|1	物流快|1	服务不错|1	质量一般|1	发货快|1	和描述一致|1,1980,,http://b1.hucdn.com/upload/item/1712/18/77005483289719_800x800.jpg,【买二送一】【35gx24包】常盐道艾叶足浴盐泡脚盐足疗艾草药泡脚粉去死皮盐去脚臭足盐祛湿泡脚包备孕宫寒暖宫助孕调理身体
30597638,753人已抢,206,45,753,,98%,88,实惠|31	质量很好|8	无异味|6	好玩|5	和描述一致|2	服务不错|2	发货快|1	质量一般|1,1390,,http://b1.hucdn.com/upload/item/1704/09/29273332444690_800x800.jpg,喜迪奇 过家家蛋糕玩具儿童仿真蛋糕水果切切乐玩具
30558184,2281人已抢,776,45,2281,,98%,81,实惠|171	质量很好|111	无色差|22	质量一般|16	面料手感不错|13	穿着效果好|11	手感不错|9	物流快|9	正品|7	和描述一致|7	物流慢|5,1590,,http://b1.hucdn.com/upload/item/1707/21/21248827481099_800x800.jpg,【2只装】新生儿0-6个月空调胎帽双耳婴儿帽春秋冬男女宝宝套头帽子纯棉
30406022,1901人已抢,493,45,1901,,99%,123,实惠|115	正品|56	是正品|48	质量不错|12	包装好|10	和描述一致|10	保湿滋润|9	物流快|5	质量很好|5	清洁度强|4	服务不错|3,3800,,http://b1.hucdn.com/upload/item/1711/30/33471827489469_800x800.jpg,【领券更优惠】自然堂 喜马拉雅补水控油面膜贴组合装紧致女士正品清洁保湿夏
30437056,1541人已抢,450,45,1541,,98%,87,实惠|92	质量很好|82	尺码不合身|71	质量一般|8	穿着效果好|6	无色差|6	正品|5	面料手感不错|5	物流快|4	和描述一致|4	物流慢|3,1990,,http://b1.hucdn.com/upload/item/1708/26/11352246246687_800x800.png,青莓【3双装】春夏秋季纯棉婴儿袜宝宝长筒袜高筒袜0-1-3岁新生儿袜子
30431532,6626人已抢,1563,45,6626,,98%,1042,质量很好|188	实惠|183	面料手感不错|44	尺码合身|33	质量一般|30	无色差|29	正品|21	尺码偏大|17	和描述一致|17	尺码偏小|12	手感不错|10,2990,,http://b1.hucdn.com/upload/item/1808/04/79067406844603_800x800.jpg,秋冬儿童内衣套装纯棉男童女童睡衣长袖全棉宝宝秋衣秋裤家居服男女童睡衣两件套
26976897,7230人已抢,3779,45,7230,,98%,76,味道好|199	孩子喜欢|197	包装好|194	实惠|189	是正品|95	生产日期新|42	质量很好|40	物流快|37	发货快|33	孩子不喜欢|23	味道差|23,8280,,http://b1.hucdn.com/upload/item/1802/06/21753911395883_800x800.jpg,阿颖山药婴儿米粉 多口味组合铁锌钙/五果米粉/营养奶米粉 500g/罐*2特惠装
30620787,70人已抢,22,45,70,,100%,6,实惠|6	尺码不合身|4	质量很好|4	衣服不错|3	手感不错|1	尺码合身|1	尺码合适|1	面料手感不错|1,11900,,http://b1.hucdn.com/upload/item/1801/04/56753703726092_800x800.jpg,巴拉巴拉童装春秋中大童休闲裤韩版外裤女童裤子儿童长裤
30501292,5307人已抢,1211,45,5307,,99%,205,实惠|194	质量很好|191	尺码不合身|125	无色差|36	正品|20	质量一般|19	和描述一致|19	穿着效果好|18	尺码合身|12	尺码合适|12	物流快|12,1390,,http://b1.hucdn.com/upload/item/1809/10/80507342975856_800x800.jpg,五双装儿童舒适棉袜子2018秋冬款童袜宝宝袜婴儿袜男女童中筒袜
30316689,3313人已抢,669,45,3313,,97%,4,实惠|181	尺码不合身|113	质量很好|109	衣服不错|63	质量一般|19	正品|18	穿着效果好|18	尺码偏小|11	面料手感一般|11	面料手感不错|10	和描述一致|9,4990,,http://b1.hucdn.com/upload/item/1809/29/30953624892351_800x800.jpg,【冬季加绒加厚男女宝宝套装】儿童冬装加绒加厚套装宝宝纯色耳朵小熊两件套
30618630,170人已抢,46,45,170,,98%,0,实惠|13	尺码不合身|10	质量很好|8	衣服不错|8	正品|3	穿着效果好|2	款式不错|2	尺码偏小|1	是正品|1	无色差|1,26900,,http://b1.hucdn.com/upload/item/1707/21/23642174116092_800x800.jpg,巴拉巴拉童装男童外套小童宝宝棒球服秋装儿童连帽外衣潮
30625182,337人已抢,68,45,337,,97%,38,实惠|18	质量很好|7	服务不错|1	包装好|1,2090,,http://b1.hucdn.com/upload/item/1801/22/90439501900259_750x750.jpg,强达2条装雪尼尔吸水防滑保暖地垫门垫进门地毯脚垫家用卫浴浴室门口卧室客厅卫生间
30624158,573人已抢,128,45,573,,97%,81,实惠|24	保湿滋润|10	质量不错|5	包装好|5	质量很好|3	物流慢|2	物流快|2	快递慢|1	过敏|1	正品|1	味道好闻|1,1990,,http://b1.hucdn.com/upload/item/1712/27/58677749193162_800x800.jpg,【送卸妆膜 提亮保湿 屈臣氏热卖】思尚秋冬水光透亮素颜霜50g 遮瑕美白
30622814,124人已抢,39,45,124,,95%,26,质量很好|17	实惠|12	尺码不合身|10	尺码合身|2	尺码合适|2	衣服不错|2	面料手感不错|2	质量一般|1	正品|1	跟描述一致|1	发货快|1,5900,,http://b1.hucdn.com/upload/item/1712/21/34380739776092_800x800.jpg,巴拉巴拉童装女童裤子小童宝宝长裤儿童春秋休闲裤运动裤
30573931,5194人已抢,519,45,5194,,97%,777,实惠|153	质量很好|89	质量一般|16	和描述一致|7	发货快|4	服务不错|4	物流快|3	包装好|1	物流慢|1	是正品|1,2490,,http://b1.hucdn.com/upload/item/1810/23/59235677770732_800x800.jpg,【4条装毛巾】图强4条装纯棉加厚全棉成人情侣家用毛巾不掉色不掉毛
30549665,11377人已抢,5190,21,11377,,98%,81,实惠|188	正品|156	是正品|114	保湿滋润|112	包装好|98	质量不错|83	物流快|61	发货快|41	和描述一致|35	质量很好|35	服务不错|34,990,,http://b1.hucdn.com/upload/item/1808/09/04702666825657_800x800.jpg,【亏本体验】兰可欣走珠眼霜提拉紧致补水去淡化细纹脂肪粒黑眼圈眼袋女正品
30591276,3723人已抢,1608,21,3723,,98%,172,实惠|193	外观不错|193	味道好闻|103	是正品|92	正品|78	包装好|31	物流快|13	发货快|12	和描述一致|12	质量很好|12	质量不错|11,3720,,http://b1.hucdn.com/upload/item/1809/29/13643678100339_800x800.jpg,买一送七 阿道夫香水沐浴露420g 补水滋润清洁
30613594,3289人已抢,1040,21,3289,,97%,783,实惠|191	质量很好|42	和描述一致|17	物流快|8	包装好|7	服务不错|5	质量一般|4	发货快|3	物流慢|3	是正品|1,2280,,http://b1.hucdn.com/upload/item/1806/28/76071979477243_800x800.jpg,【不精准包邮退换】宝岚 称重电子称体重秤家用成人精准人体秤测体重计准
26978104,4609人已抢,1506,21,4609,,100%,201,实惠|190	孩子喜欢|169	味道好|160	包装好|67	是正品|44	味道差|22	生产日期新|19	和描述一致|16	质量很好|13	孩子不喜欢|13	物流快|9,3750,,http://b1.hucdn.com/upload/item/1802/06/21781609705883_800x800.jpg,英氏健恩面条组合（西红柿鸡蛋面240g+牛肉蔬菜面240g)
30245725,1581人已抢,371,21,1581,,98%,57,实惠|81	效果不错|72	是正品|46	物流快|11	质量很好|7	发货快|4	包装好|3	服务不错|3	适合长期吃|2	和描述一致|2	效果一般|1,3900,,http://b1.hucdn.com/upload/item/1810/17/66065498959575_800x800.jpg,修正天然维生素E软胶囊 VE维Eve可搭美容养颜抗氧化的葡萄籽 男女保养品
30581339,7737人已抢,3644,21,7737,,98%,202,实惠|194	柔软舒适|194	质量很好|193	质量一般|63	物流快|47	尺码合身|39	服务不错|38	材质不错|35	发货快|30	和描述一致|30	无色差|25,3590,,http://b1.hucdn.com/upload/item/1702/21/41535758668158_800x800.jpg,米度丽 孕妇装秋装孕妇打底裤冬装孕妇裤外穿长裤保暖大码孕妇托腹裤九分裤子
30617735,7192人已抢,1964,21,7192,,97%,735,实惠|190	质量不错|57	正品|53	包装好|47	质量很好|36	功效不错|31	服务不错|28	和描述一致|24	物流快|22	发货快|21	味道好闻|13,1190,,http://b1.hucdn.com/upload/item/1712/19/70004233717677_800x800.jpg,【抖音爆款 5秒速成】璀璨双色珠光眼影棒4色可选 一抹成型上色不晕染新手菜鸟适用
30458136,85238人已抢,19845,21,85238,,97%,21855,质量很好|197	实惠|196	质量一般|196	包装好|194	物流慢|193	物流快|149	发货快|72	服务不错|63	和描述一致|58	大品牌|31	是正品|28,2990,,http://b1.hucdn.com/upload/item/1807/15/37238897585171_800x800.jpg,【已抢8.5万件，单包仅需0.99元】植护婴儿原木三色抽纸30包整箱装卫生纸
30554896,31758人已抢,10532,21,31758,,99%,3666,是正品|197	质量很好|189	实惠|188	和描述一致|165	无异味|113	发货快|82	物流快|60	大品牌|40	材质一般|39	包装好|34	物流慢|27,4380,,http://b1.hucdn.com/upload/item/1808/27/54633787824810_800x800.jpg,贝亲仿真9个月宝宝自然实感新生婴儿宽口径奶嘴S/M/L/LL号硅胶
30584478,6924人已抢,1563,21,6924,,98%,780,实惠|189	质量很好|134	无异味|34	质量一般|20	和描述一致|19	颜色好看|14	物流快|11	好玩|10	物流慢|10	服务不错|6	包装好|4,1990,,http://b1.hucdn.com/upload/item/1704/14/63082537205724_800x800.jpg,【大号12件套】儿童沙滩玩具 挖沙工具戏水玩沙桶
30573976,44903人已抢,11586,21,44903,,99%,4078,实惠|187	质量很好|183	物流快|96	和描述一致|72	发货快|60	包装好|51	服务不错|47	物流慢|33	无异味|26	颜色好看|21	质量一般|18,990,,http://b1.hucdn.com/upload/item/1705/17/88488737536019_800x800.jpg,健康成长餐1688例 婴儿宝宝辅食书籍0-1-3-6岁 营养餐儿童营养食谱书 宝宝食谱书0-3岁婴幼儿辅食制作大全
30583851,38396人已抢,10818,21,38396,,97%,2138,物流快|187	是正品|183	质量很好|168	实惠|165	柔软舒适|156	包装好|93	大品牌|90	不红屁股|87	发货快|85	尺码不合身|84	防侧漏|75,12900,,http://b1.hucdn.com/upload/item/1803/07/17252013000168_800x800.jpg,安儿乐 干爽超薄婴儿纸尿裤M140/L124/XL108
30339538,90539人已抢,21857,21,90539,,98%,5096,功效不错|193	包装好|190	和描述一致|189	质量不错|188	质量很好|186	物流快|182	正品|181	实惠|178	服务不错|177	味道好闻|159	发货快|125,1250,,http://b1.hucdn.com/upload/item/1805/26/19243656823162_800x800.jpg,【已抢9万件，拍3支29，单支仅需9.6元】思尚口红10色可选滋润保湿不掉色
30487530,20165人已抢,4479,21,20165,,96%,3819,质量不错|184	清洁度强|179	正品|174	实惠|173	物流快|112	服务不错|96	包装好|92	味道好闻|85	刺激性强|81	保湿滋润|79	质量很好|58,1990,,http://b1.hucdn.com/upload/item/1808/21/27853854456183_800x800.jpg,【撕出嫩白 买2送精华】一撕见效美康粉黛撕拉面膜80g 还你嫩白肌去黑头死皮汗毛
30657260,3366人已抢,682,21,3366,,98%,1160,实惠|191	外观不错|182	正品|56	是正品|51	质量不错|24	质量很好|23	外观不好看|19	物流快|15	包装好|12	和描述一致|7	发货快|5,3590,,http://b1.hucdn.com/upload/item/1802/24/56067332704011_800x800.jpg,【超值10包】七度空间卫生巾 少女纯棉日用夜用卫生巾共62片装
30607074,36813人已抢,12544,21,36813,,99%,1135,质量很好|197	实惠|194	无异味|192	颜色好看|131	质量一般|130	物流快|89	和描述一致|85	包装好|72	发货快|65	物流慢|57	服务不错|52,2780,,http://b1.hucdn.com/upload/item/1712/26/51003998866943_800x800.jpg,全套20册【礼盒装】贝贝专供大卡圈圈书可撕可咬 幼儿撕不烂盒装玩具卡0-3岁宝宝早教启蒙玩具识字卡加厚防水学习励志卡
30654382,23379人已抢,4551,21,23379,,97%,5536,实惠|198	好玩|197	质量很好|165	服务不错|62	包装好|44	质量一般|33	物流快|32	和描述一致|30	物流慢|27	发货快|13	无异味|7,1360,,http://b1.hucdn.com/upload/item/1807/02/96975298975831_800x800.jpg,婴乐星 粉红小猪电动轨道滑梯玩具 儿童玩具轨道玩具
30609122,4902人已抢,1189,21,4902,,97%,802,实惠|186	保湿滋润|42	质量不错|32	包装好|32	正品|28	物流快|13	清洁度强|10	服务不错|9	物流慢|6	质量很好|6	刺激性强|4,1900,,http://b1.hucdn.com/upload/item/1804/12/26214622554003_800x800.jpg,【30片装】【买2送10】碧素堂水果组合面膜补水保湿美白淡斑清爽控油提亮肤色
30460041,159599人已抢,67186,22,159599,,97%,3782,质量很好|195	清洁度强|193	是正品|192	质量不错|192	物流快|192	发货快|192	实惠|191	包装好|189	保湿滋润|188	物流慢|187	服务不错|187,1890,,http://b1.hucdn.com/upload/item/1707/29/17741581140009_800x800.jpg,【30片】【买两份同款多送十片】碧素堂婴儿肌蜗牛原液面膜补水美白保湿清洁收缩毛孔
30610976,10550人已抢,2308,22,10550,,98%,2224,实惠|192	质量很好|115	物流慢|26	物流快|23	和描述一致|23	服务不错|12	无异味|9	颜色好看|2	发货快|2	质量一般|2	好玩|2,490,,http://b1.hucdn.com/upload/item/1711/15/27865988959767_800x800.jpg,儿童凹槽练字帖幼儿园学前班数字拼音汉字描红本3-8岁初学者写字练字本反复书写临摹
30598611,6634人已抢,1780,22,6634,,96%,585,实惠|190	正品|33	质量不错|32	包装好|27	质量很好|26	服务不错|23	功效不错|20	物流快|17	味道好闻|13	和描述一致|9	味道不好闻|8,1990,,http://b1.hucdn.com/upload/item/1805/28/90407409903162_800x800.jpg,【全店39元3件】【8色可选】思尚奢华之吻口红 持久滋润保湿不掉色
30582229,93985人已抢,42085,22,93985,,97%,3101,物流快|198	包装好|195	实惠|194	质量很好|194	发货快|193	物流慢|192	质量一般|190	是正品|164	服务不错|147	大品牌|107	和描述一致|89,2990,,http://b1.hucdn.com/upload/item/1806/25/11635098285171_800x800.jpg,【已抢9.3万件30包/50包可选】植护婴儿四层加厚抽纸*30包整箱卫生纸手帕纸
30575566,8548人已抢,2517,22,8548,,98%,2114,实惠|193	质量很好|152	无异味|32	包装好|29	物流快|29	和描述一致|24	材质一般|14	物流慢|9	是正品|9	发货快|8	质量一般|6,1290,,http://b1.hucdn.com/upload/item/1712/16/12092391195883_800x800.jpg,爱因美婴儿针筒喂药器防呛硅胶奶嘴式10ML
30480157,41076人已抢,11476,22,41076,,98%,7162,实惠|195	正品|155	和描述一致|150	质量很好|141	质量不错|138	物流快|132	包装好|126	功效不错|53	发货快|52	服务不错|51	物流慢|36,900,,http://b1.hucdn.com/upload/item/1703/20/02248704691342_800x800.jpg,炫彩缤纷眼影笔12支装套盒15g满足各种眼妆防水不晕染大地色哑光卧蚕笔珠光笔高光棒膏
30541029,43969人已抢,11136,22,43969,,99%,2816,质量很好|197	衣服不错|196	面料手感不错|196	无色差|193	尺码不合身|190	实惠|189	物流慢|184	正品|180	和描述一致|170	尺码合身|163	质量一般|153,1890,,http://b1.hucdn.com/upload/item/1708/19/20850258511193_750x750.jpg,淘喜 女童纯棉木耳边长袖T恤樱桃字母刺绣修身弹力打底衫
30570612,6611人已抢,1803,22,6611,,97%,901,实惠|190	质量很好|151	柔软舒适|151	和描述一致|44	款式不错|29	质量一般|25	物流慢|23	尺码合适|22	包装好|13	尺码偏小|12	物流快|11,2700,,http://b1.hucdn.com/upload/item/1705/08/80128954894728_640x640.jpg,艾莉黛夏款无钢圈抹胸式文胸聚拢小胸厚调整型大码女内衣收副乳性感蕾丝胸罩内衣
30605736,5522人已抢,1266,22,5522,,98%,961,实惠|190	质量很好|105	无异味|42	颜色好看|20	和描述一致|14	质量一般|12	好玩|10	发货快|6	做工很好|4	物流快|4	服务不错|4,1900,,http://b1.hucdn.com/upload/item/1704/12/74873680909674_640x640.jpg,儿童益智积木拼图玩具宝宝数字母认知木质1-2-3-4-5周岁小朋友学习早教启蒙教育
30607154,10789人已抢,2884,22,10789,,99%,2511,质量很好|194	实惠|190	好玩|29	无异味|24	物流快|22	颜色好看|20	质量一般|14	发货快|12	服务不错|9	物流慢|9	包装好|7,1990,,http://b1.hucdn.com/upload/item/1712/28/53617292416943_800x800.jpg,全10册益智游戏贴纸书 幼儿潜能开发励志书 早教启蒙故事绘本 情商培养贴纸书 幼儿睡前图书儿童动手动脑贴贴画玩具贴纸书
30582459,18628人已抢,4102,22,18628,,97%,2770,质量很好|195	实惠|192	无异味|192	颜色好看|148	质量一般|46	物流慢|40	和描述一致|39	物流快|36	服务不错|28	发货快|17	包装好|10,2430,,http://b1.hucdn.com/upload/item/1707/27/37763225980203_800x800.jpg,【星期八】环保泡沫地垫儿童卧室30x30宝宝爬行垫拼接拼图加厚婴儿爬爬垫
30526545,14095人已抢,4264,22,14095,,99%,774,外观漂亮|186	实惠|185	外观不好看|103	质量很好|92	物流快|66	包装好|41	发货快|39	是正品|32	大品牌|31	服务不错|31	和描述一致|15,2890,,http://b1.hucdn.com/upload/item/1806/12/69682041402426_800x800.jpg,【爆款直降】子初 婴儿童柠檬植物洗衣皂不伤手肥皂150g*8块 80g*12块
30600372,8771人已抢,2541,22,8771,,99%,1399,实惠|193	外观漂亮|185	质量很好|140	包装好|98	外观不好看|88	性价比不高|59	物流快|33	服务不错|23	发货快|18	是正品|16	和描述一致|15,2980,,http://b1.hucdn.com/upload/item/1801/26/34828655302571_800x800.jpg,【25片】十月结晶孕妇产褥垫产后护理垫一次性床单成人隔尿垫
30642517,2566人已抢,569,22,2566,,96%,148,实惠|73	好玩|45	质量很好|32	服务不错|10	和描述一致|7	质量一般|3	物流快|3	颜色好看|3	物流慢|2	发货快|2	无异味|1,2690,,http://b1.hucdn.com/upload/item/1707/29/12395302915340_800x800.jpg,优卡家 电动下蛋母鸡 儿童电动玩具生蛋鸡 宝宝玩具鸡6-9-12月1-3岁益智
30456098,5712人已抢,1600,22,5712,,97%,484,实惠|191	质量很好|59	服务不错|43	物流快|28	和描述一致|19	包装好|17	发货快|15	物流慢|6	是正品|5	质量一般|3	大品牌|2,4200,,http://b1.hucdn.com/upload/item/1805/15/51478675426865_800x800.jpg,长坤宝宝红外线电子温度计家用婴儿高精度医用精准额温枪
30620714,11473人已抢,3320,22,11473,,98%,2437,质量很好|195	实惠|193	包装好|71	和描述一致|68	服务不错|65	物流快|47	质量一般|25	发货快|11	物流慢|10	是正品|1,1680,,http://b1.hucdn.com/upload/item/1703/04/16318522656843_800x800.jpg,套装家用陶瓷保鲜碗儿童卡通餐具套装便当饭盒密封盖泡面碗微波炉冰箱适用保鲜盒吃饭碗
26244785,10550人已抢,2074,22,10550,,97%,956,实惠|187	质量很好|128	无异味|36	颜色好看|25	好玩|22	物流快|17	质量一般|13	和描述一致|9	做工很好|9	物流慢|8	发货快|8,990,,http://b1.hucdn.com/upload/item/1612/14/00558798299120_640x640.jpg,启蒙小绕珠智力手眼协调玩具
30653570,12713人已抢,4532,22,12713,,98%,600,质量很好|197	实惠|195	材质一般|145	质量一般|75	和描述一致|48	物流慢|39	手感好|38	物流快|35	材质差|28	无异味|28	发货快|19,1880,,http://b1.hucdn.com/upload/item/1702/28/61263727890407_800x800.jpg,男女宝宝围嘴防水围兜6条装棉儿童小孩新生婴儿口水巾可旋转按扣婴儿吃饭兜防吐奶
30620807,2651人已抢,1105,23,2651,,96%,114,实惠|164	质量很好|85	包装好|78	服务不错|34	质量一般|17	物流快|16	和描述一致|15	发货快|6	大品牌|1	是正品|1	物流慢|1,2600,,http://b1.hucdn.com/upload/item/1810/19/17078769220663_800x800.jpg,蔻丝收纳柜宝宝衣柜婴儿收纳箱储物塑料简易衣柜整理柜子儿童衣柜
30691942,53490人已抢,14647,23,53490,,98%,3429,外观不错|194	是正品|193	实惠|191	味道好闻|191	包装好|191	物流快|190	质量不错|188	质量很好|187	正品|186	外观不好看|176	和描述一致|176,990,,http://b1.hucdn.com/upload/item/1810/19/12957589870339_800x800.jpg,【领券减13元】阿道夫 控油去屑香氛洗发水248gx2瓶
30650180,20509人已抢,9096,23,20509,,97%,1487,实惠|192	质量很好|192	无异味|191	和描述一致|138	材质一般|126	物流快|84	包装好|77	质量一般|73	服务不错|49	发货快|47	物流慢|36,1990,,http://b1.hucdn.com/upload/item/1807/02/40432530787048_800x800.jpg,唯昵贝贝宝宝学饮杯 儿童水杯 婴儿防漏杯子 宝宝夏季吸管杯 学生水壶 幼儿园水瓶
30606216,23351人已抢,6981,23,23351,,97%,2998,柔软舒适|196	质量一般|195	质量很好|194	实惠|193	和描述一致|150	款式不错|87	质量差|83	物流快|80	尺码偏小|40	手感好|39	发货快|33,1840,,http://b1.hucdn.com/upload/item/1703/02/31029396562736_750x750.jpg,【爆卖2万份 】5条装女士棉质面料三角内裤
30584524,8289人已抢,2184,23,8289,,99%,1269,实惠|194	质量很好|166	物流快|34	和描述一致|32	包装好|24	不太好用|21	跟描述一致|12	发货快|12	材质一般|12	物流慢|11	服务不错|10,1390,,http://b1.hucdn.com/upload/item/1711/29/23758058573801_800x800.jpg,琳达妈咪婴儿棉签棉棒宝宝专用600支纸轴双头新生儿棉签
30583630,5474人已抢,1798,23,5474,,99%,663,实惠|192	外观漂亮|188	质量很好|71	外观不好看|62	包装好|62	性价比不高|34	物流快|34	大品牌|10	发货快|9	和描述一致|9	服务不错|8,7200,,http://b1.hucdn.com/upload/item/1711/03/89316664162571_800x800.jpg,【品牌直营】十月结晶待产包秋冬季款产妇卫生巾妈咪入院用品20件套
30644844,4661人已抢,1087,23,4661,,97%,656,实惠|189	质量很好|128	无异味|84	物流快|21	服务不错|19	包装好|10	和描述一致|10	材质一般|8	材质不错|8	颜色好看|5	发货快|5,4990,,http://b1.hucdn.com/upload/item/1806/02/27779088995294_800x800.jpg,【断奶神器】【加大容量】大容量奶瓶ppsu 耐摔 宽口径婴儿吸管防胀气宝宝新生儿
30489428,16497人已抢,5356,23,16497,,97%,765,保湿滋润|193	质量不错|191	实惠|183	正品|155	包装好|149	物流快|95	清洁度强|72	是正品|64	刺激性强|55	服务不错|44	质量很好|39,3900,,http://b1.hucdn.com/upload/item/1804/03/19285082359748_800x800.jpg,【一片低至1.9元】亲恩孕妇补水面膜30片 天然补水保湿滋养孕妇护肤品套装
30591455,6289人已抢,1793,23,6289,,98%,966,实惠|192	质量很好|86	不太好用|51	和描述一致|27	包装好|21	物流快|20	服务不错|15	材质一般|13	物流慢|12	手感好|11	发货快|10,4700,,http://b1.hucdn.com/upload/item/1801/09/62773964482114_800x800.jpg,奥克斯婴儿理发器超静音防水宝宝儿童剃头电推剪充电式新生儿推子家用
30458464,43611人已抢,13485,23,43611,,98%,3398,包装好|193	实惠|192	物流快|153	物流慢|132	发货快|131	服务不错|56	质量很好|49	和描述一致|39	大品牌|14	是正品|7	质量一般|2,1980,,http://b1.hucdn.com/upload/item/1702/25/90050018479994_800x800.jpg,玛呖德紫米面包1100g三明治蛋糕营养早餐食品零食整箱
30554922,15641人已抢,8673,23,15641,,98%,600,是正品|198	和描述一致|198	质量很好|194	实惠|190	包装好|116	物流慢|79	大品牌|69	物流快|45	发货快|44	无异味|40	服务不错|31,7890,,http://b1.hucdn.com/upload/item/1808/27/55873656044810_800x800.jpg,【赠吸管手柄】贝亲奶瓶新生婴儿宽口径玻璃奶瓶宝宝防胀气耐高温160/240ml
30081891,7674人已抢,1593,23,7674,,99%,516,实惠|195	外观漂亮|194	质量很好|157	外观不好看|46	正品|41	和描述一致|30	物流快|16	服务不错|12	质量一般|11	物流慢|7	包装好|7,790,,http://b1.hucdn.com/upload/item/1807/29/73822393412368_800x800.jpg,【24款气质头饰】头绳韩国小清新发绳森女系成人简约发圈头饰扎头发橡皮筋发饰套装
30571488,126866人已抢,28836,23,126866,,98%,19035,实惠|199	质量很好|193	包装好|192	物流慢|191	物流快|186	服务不错|173	和描述一致|164	包装差|157	质量一般|137	大品牌|124	发货快|110,1990,,http://b1.hucdn.com/upload/item/1805/10/45937050119178_800x800.jpg,【带盖80抽5包】可爱多无刺激婴儿湿巾80抽*5包带盖手口专用湿纸巾
