stock,searchId,third_category_id,totalCount,seconde_title,one_category_bannerList,productId,productName,one_category_id,supplierName,searchTitle,link_Url,secondTitle,seconde_id,one_category_title,title,tagPrice,price,categoryLevel3Name,categoryLevel2Name,page_seq,mainImageUrl,vip_Price
75,35,701,14,酒水,https://h5.yit.com//activity/4900.html,112268,塔牌07、08年份套装,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=112268,纯正手工原浆黄酒，古法酿制、十年陈酿，口感温润爽滑、不燥不烈,216,美食,塔牌07、08年份套装,79800,72800,黄酒,酒,1,https://img01.yit.com/media/5f8e5cc2-6f1e-42a0-acc6-4fd6d42257f3.jpeg,69160
989,35,701,14,酒水,https://h5.yit.com//activity/4900.html,16817,绍兴塔牌手工黄酒,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=16817,4款年份可选，纯正手工酿制，香气有层次、口感顺滑,216,美食,绍兴塔牌手工黄酒,42000,41800,黄酒,酒,1,https://img01.yit.com/media/cf919ff3-406e-4995-ad8b-db2709bf8916.jpg,39710
94,35,701,14,酒水,https://h5.yit.com//activity/4900.html,36199,全国限量600瓶的黄酒,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=36199,晚清工艺 纯手工酿造，12年陈酿 口感纯净剔透 香气层次多变 回味绵长,216,美食,全国限量600瓶的黄酒,68000,68000,黄酒,酒,1,https://img01.yit.com/media/6c9602c9-ff80-44cc-8b6b-67e643ebe2c7.jpg,64600
838,35,701,14,酒水,https://h5.yit.com//activity/4900.html,49573,古法手工黄酒,115,绍兴柯桥安稳贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=49573,古法酿造，回味无穷，大小恰好合适，单手持握很稳，沾水也不滑,216,美食,古法手工黄酒,21800,19000,黄酒,酒,1,https://img01.yit.com/media/47ec94d2-3dc5-4b96-8b3e-007217aa81b4.jpg,18050
819,35,701,14,酒水,https://h5.yit.com//activity/4900.html,56900,2017年冬酿原坛黄酒,115,绍兴柯桥安稳贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=56900,5L/10L装可选，原坛原装、没有勾兑，可收藏陈年、口感更香醇,216,美食,2017年冬酿原坛黄酒,57800,46800,黄酒,酒,1,https://img01.yit.com/media/15ee30e1-f714-4dd7-80f1-73172f565ef0.jpg,44460
2880,35,701,14,酒水,https://h5.yit.com//activity/4900.html,104562,绍兴生藏酒单瓶装,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=104562,省掉一次蒸煮环节、口味活泼丰富，有干果、咖啡、肉脯香，三个年份可以选,216,美食,绍兴生藏酒单瓶装,14800,13800,黄酒,酒,1,https://img01.yit.com/media/c9ec623c-8d99-40c6-8176-01244d30c664.jpeg,13110
406,35,701,14,酒水,https://h5.yit.com//activity/4900.html,104911,绍兴生藏酒组合装,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=104911,包含三个年份，省掉一次蒸煮环节、口味活泼丰富，有干果、咖啡、肉脯香,216,美食,绍兴生藏酒组合装,30800,30800,黄酒,酒,1,https://img01.yit.com/media/bab97f55-2496-423a-b635-f20bd03049a5.jpeg,29260
1314,35,701,14,酒水,https://h5.yit.com//activity/4900.html,35889,客家火炙黄酒 一年陈,115,广州水牛电子商务有限公司,黄酒,https://h5.yit.com/product.html?product_id=35889,手工酿造，馥郁香气，小酌一口黄酒，口感浓厚,216,美食,客家火炙黄酒 一年陈,8800,6800,黄酒,酒,1,https://img01.yit.com/media/f26f7aad-cbc2-4a75-a275-99f422f7c3a8.jpg,6460
413,35,701,14,酒水,https://h5.yit.com//activity/4900.html,32923,宋十一手工原浆黄酒,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=32923,产自绍兴的黄酒，2011年冬至酿造,216,美食,宋十一手工原浆黄酒,151800,140000,黄酒,酒,1,https://img01.yit.com/media/e63f7362-5e8d-4bf2-83c5-7b1930e1b6ee.jpg,133000
291,35,701,14,酒水,https://h5.yit.com//activity/4900.html,108310,绍兴生藏酒12瓶装,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=108310,有三个年份可选，省掉一次蒸煮环节、口味活泼丰富，有干果、咖啡、肉脯香,216,美食,绍兴生藏酒12瓶装,165600,160800,黄酒,酒,1,https://img01.yit.com/media/f3c2d4f3-e5a9-44c1-9f29-e1d8915b6ff0.jpeg,152760
19,980,1933,4,健康服务,https://h5.yit.com//activity/4705.html,90111,瑞慈体检丨女性套餐,1915,上海瑞慈门诊部有限公司,体检卡,https://h5.yit.com/product.html?product_id=90111,一个电话搞定体检预约，电子报告终身保存、方便查看，专业医生免费在线解读,1932,健康,瑞慈体检丨女性套餐,220000,130000,体检卡,健康服务,1,https://img01.yit.com/media/f2911e2f-6cf2-4632-877e-e9ab74bc6b3a.jpeg,123500
90,980,1933,4,健康服务,https://h5.yit.com//activity/4705.html,90090,瑞慈体检丨职工套餐,1915,上海瑞慈门诊部有限公司,体检卡,https://h5.yit.com/product.html?product_id=90090,一个电话搞定体检预约，电子报告终身保存、方便查看，专业医生免费在线解读,1932,健康,瑞慈体检丨职工套餐,115000,58000,体检卡,健康服务,1,https://img01.yit.com/media/3acdadfd-6848-4314-8401-6fbdadec7e77.jpeg,55100
20,980,1933,4,健康服务,https://h5.yit.com//activity/4705.html,90114,瑞慈体检丨中老年套餐,1915,上海瑞慈门诊部有限公司,体检卡,https://h5.yit.com/product.html?product_id=90114,一个电话搞定体检预约，电子报告终身保存、方便查看，专业医生免费在线解读,1932,健康,瑞慈体检丨中老年套餐,280000,152000,体检卡,健康服务,1,https://img01.yit.com/media/936c2d6e-a89e-452b-b118-d69dbbf8b0a5.jpg,144400
109,980,1933,4,健康服务,https://h5.yit.com//activity/4705.html,90103,瑞慈体检丨白领套餐,1915,上海瑞慈门诊部有限公司,体检卡,https://h5.yit.com/product.html?product_id=90103,一个电话搞定体检预约，电子报告终身保存、方便查看，专业医生免费在线解读,1932,健康,瑞慈体检丨白领套餐,160000,96000,体检卡,健康服务,1,https://img01.yit.com/media/57b49a78-84a4-45f5-961c-85c0f3c770fa.jpeg,91200
200,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,93713,女性复合维生素,1915,ECO FARM NEW ZEALAND LIMITED,保健品,https://h5.yit.com/product.html?product_id=93713,120粒，澳洲人气品牌，吃一片，就可以满足女性一天所需的多种维生素,1918,健康,女性复合维生素,23900,21700,保健食品/膳食营养补充食品,保健品,5,https://img01.yit.com/media/9d5133f6-0fb6-4d41-bf84-a5cf5be5a085.jpg,20615
38,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,94330,胶原蛋白液+蔓越莓胶囊,1915,ECO FARM NEW ZEALAND LIMITED,保健品,https://h5.yit.com/product.html?product_id=94330,澳洲人气品牌，提亮肤色，滋养头发，保护女性子宫健康，延缓衰老,1918,健康,胶原蛋白液+蔓越莓胶囊,25900,23900,保健食品/膳食营养补充食品,保健品,5,https://img01.yit.com/media/c54ad0fb-f8b5-4f0d-a6e1-3a961f6d48ab.jpg,22705
1155,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,121594,在日本热卖的维生素组合,1915,香港城港国际贸易有限公司,保健品,https://h5.yit.com/product.html?product_id=121594,VB+VC、提亮肤色，出油、长痘、冒闭口必备，能提高代谢、帮助舒缓疲劳,1918,健康,在日本热卖的维生素组合,58900,26600,营养与保健,保健品,5,https://img01.yit.com/media/6fc98942-2b39-4551-b88c-5328c5b34e38.jpeg,25270
7217,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,85482,适合女性服用的益生菌,1915,广州怡能生物科技有限公司,保健品,https://h5.yit.com/product.html?product_id=85482,美国杜邦菌株，含8株益生菌菌株，每包活菌含量达520亿，能减脂瘦身,1918,健康,适合女性服用的益生菌,23800,19900,保健食品/膳食营养补充食品,保健品,5,https://img01.yit.com/media/56b31a8e-65b2-4145-8223-57e16cd095ce.jpg,18905
1532,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,80850,静脉曲张舒缓片 30片,1915,"Oceania Technology Co., Limited",保健品,https://h5.yit.com/product.html?product_id=80850,维生素C+葡萄籽成分，强化血管壁，促进血液循环，延缓衰老，抗氧化效果好,1918,健康,静脉曲张舒缓片 30片,19900,14900,营养与保健,保健品,5,https://img01.yit.com/media/83e76d85-18ce-41c9-81fe-bbc49559861e.jpg,14155
249,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,87570,澳洲进口深海鱼油胶囊,1915,ECO FARM NEW ZEALAND LIMITED,保健品,https://h5.yit.com/product.html?product_id=87570,澳洲人气品牌，甄选深海小鱼作为原料，富含Omega-3，全家都能用,1918,健康,澳洲进口深海鱼油胶囊,16900,13900,营养与保健,保健品,5,https://img01.yit.com/media/7d723c01-8664-496f-92f6-1d5c80cb03cd.jpg,13205
250,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,87572,无腥味鱼油胶囊 大颗粒,1915,ECO FARM NEW ZEALAND LIMITED,保健品,https://h5.yit.com/product.html?product_id=87572,富含Omega-3，健脑益智，改善情绪，呵护心脏、眼睛，预防动脉硬化,1918,健康,无腥味鱼油胶囊 大颗粒,28900,14800,营养与保健,保健品,5,https://img01.yit.com/media/54df3bd3-29b3-4f06-84ed-208d71bd3b11.jpg,14060
350,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,95547,蓝莓护眼片,1915,ECO FARM NEW ZEALAND LIMITED,保健品,https://h5.yit.com/product.html?product_id=95547,30粒，澳洲人气品牌，含有丰富的蓝莓提取物，能缓解眼部疲劳，保护视力,1918,健康,蓝莓护眼片,11900,9900,营养与保健,保健品,5,https://img01.yit.com/media/f3bf56b9-180e-41da-9d31-d410aee8791d.jpg,9405
880,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,101631,左旋肉碱茶多酚 柠檬味,1915,湖南西子电商品牌管理有限公司,保健品,https://h5.yit.com/product.html?product_id=101631,美国知名品牌，可以加速脂肪代谢，还含有丰富的膳食纤维，防止多余脂肪堆积,1918,健康,左旋肉碱茶多酚 柠檬味,29800,24800,功能食品,保健品,5,https://img01.yit.com/media/23217faa-2360-49a3-bee7-6cd7f6135a58.jpg,23560
1841,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,113281,澳洲抗糖美容饮品,1915,ECO FARM NEW ZEALAND LIMITED,保健品,https://h5.yit.com/product.html?product_id=113281,清除体内多余糖分，锁住水分、改善暗沉，抗氧化、抗衰老,1918,健康,澳洲抗糖美容饮品,31800,31800,保健食品/膳食营养补充食品,保健品,5,https://img01.yit.com/media/c7909d93-8349-4474-abe4-9e9ee8490ddc.jpg,30210
399,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,39672,时尚儿童呼吸面罩,1915,空铂（天津）国际贸易有限公司,口罩,https://h5.yit.com/product.html?product_id=39672,亲肤面料，轻薄透气，防尘，可清洗活性炭滤胆，安全方便,1918,健康,时尚儿童呼吸面罩,57900,57900,口罩,医药保健,1,https://img01.yit.com/media/e431e783-d4e4-4ab2-9103-f8da6a3ce2ea.jpg,55005
19747,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,41626,电动风扇防霾口罩 灵动,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=41626,专为女性设计能修饰脸型，5层滤网过滤各种污染，电动风扇让呼吸舒适顺畅,1918,健康,电动风扇防霾口罩 灵动,36900,19900,口罩,医药保健,1,https://img01.yit.com/media/50782380-4fe1-43bd-9187-748d12e5fdb1.jpg,18905
447,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,48210,电动风扇防霾口罩 律动,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=48210,专为男性设计更适合运动，5层滤网过滤各种污染，电动风扇让呼吸顺畅，安全舒适,1918,健康,电动风扇防霾口罩 律动,42900,26800,口罩,医药保健,1,https://img01.yit.com/media/49366d56-9828-4498-a8cd-4285bf9e5c32.jpg,25460
998,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,108840,能强化吸收雾霾的口罩,1915,巽一电子科技（上海）有限责任公司,口罩,https://h5.yit.com/product.html?product_id=108840,日本科技、双层过滤系统，可高效过滤PM2.5，立体剪裁、不易积蓄水汽,1918,健康,能强化吸收雾霾的口罩,7900,7900,口罩,医药保健,1,https://img01.yit.com/media/94598c23-a12d-41a4-8f60-84a554581b43.jpeg,7505
992,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,108857,带收纳盒子的防雾霾口罩,1915,巽一电子科技（上海）有限责任公司,口罩,https://h5.yit.com/product.html?product_id=108857,4个装、4层科技滤棉，可高效过滤PM2.5，卫生、方便携带，可重复使用,1918,健康,带收纳盒子的防雾霾口罩,5600,5600,口罩,医药保健,1,https://img01.yit.com/media/294992e4-544c-4070-9eec-e7d32452bc02.jpg,5320
990,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,48211,律动款电动口罩滤网,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=48211,医用级滤芯，20片/盒，层层过滤毛发、粉尘、甲醛、PM2.5、游离的病菌,1918,健康,律动款电动口罩滤网,10000,6000,口罩,医药保健,1,https://img01.yit.com/media/e0ce6b0e-12cd-49f8-8e1c-910dbdafc462.jpg,5700
9003,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,46599,儿童时尚口罩3只装,1915,上海略道贸易有限公司,口罩,https://h5.yit.com/product.html?product_id=46599,舒适透气，不勒耳朵，能很好过滤空气中的微小颗粒，阻隔粉尘,1918,健康,儿童时尚口罩3只装,7500,7500,口罩,医药保健,1,https://img01.yit.com/media/e91c4eee-8039-4405-90b8-d2c49c3a64bd.jpg,7125
3150,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,108856,高颜值的专业防雾霾口罩,1915,巽一电子科技（上海）有限责任公司,口罩,https://h5.yit.com/product.html?product_id=108856,获得过德国iF设计大奖，日本科技、双层过滤系统，可防护PM0.3微粒,1918,健康,高颜值的专业防雾霾口罩,13900,11900,口罩,医药保健,1,https://img01.yit.com/media/cdecc616-170b-417a-9877-2a930d5d9b26.jpeg,11305
390,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,108867,防雾霾口罩替换滤芯,1915,巽一电子科技（上海）有限责任公司,口罩,https://h5.yit.com/product.html?product_id=108867,4个装、获iF设计大奖，工业级防粉尘标准，可防护PM0.3以上的粒子,1918,健康,防雾霾口罩替换滤芯,5900,4900,口罩,医药保健,1,https://img01.yit.com/media/2b259df7-e6d5-4da3-bafb-e53b7fffcc18.jpeg,4655
500,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,108877,用于日常防护的纤薄口罩,1915,巽一电子科技（上海）有限责任公司,口罩,https://h5.yit.com/product.html?product_id=108877,20个装，贴合面部的立体剪裁，材质柔软不易起毛，佩戴透气、无束缚,1918,健康,用于日常防护的纤薄口罩,3000,3000,口罩,医药保健,1,https://img01.yit.com/media/0326b55a-a6b0-472e-a046-dec87a09b374.jpeg,2850
9932,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,41615,萌动款电动口罩,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=41615,会呼吸的口罩，适用于6岁以上儿童，食品级硅胶，5级超强复合滤网,1918,健康,萌动款电动口罩,39900,21800,口罩,医药保健,1,https://img01.yit.com/media/0a12816a-f49d-48d1-a368-213712b0ac2c.jpg,20710
9863,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,41627,新动二代电动口罩滤网,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=41627,医疗级滤芯，10个/盒，层层过滤毛发、粉尘、甲醛、PM2.5、游离的病菌,1918,健康,新动二代电动口罩滤网,5000,3000,口罩,医药保健,1,https://img01.yit.com/media/c802dccc-bcdf-4617-b93e-1ac7f4de4349.jpg,2850
9638,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,41628,电动风扇防霾口罩 新动,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=41628,男女通用 低调简约，5层滤网过滤各种污染，电动风扇让呼吸舒适顺畅,1918,健康,电动风扇防霾口罩 新动,29900,15900,口罩,医药保健,1,https://img01.yit.com/media/6649f6d5-b29e-4f3f-a052-a2fd5316bab6.jpg,15105
19628,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,60599,时尚口罩深灰色2包装,1915,上海略道贸易有限公司,口罩,https://h5.yit.com/product.html?product_id=60599,轻薄透气，防花粉灰尘，可水洗重复使用，拉伸性强，长时间佩戴耳朵无痛感,1918,健康,时尚口罩深灰色2包装,13800,13200,口罩,医药保健,1,https://img01.yit.com/media/d5b57fc6-12b1-467c-a32a-b7156b2b3fc2.jpg,12540
8800,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,38450,会自动贴脸的防霾口罩,1915,杭州随能电子科技有限公司,口罩,https://h5.yit.com/product.html?product_id=38450,不勒不闷不易让眼镜起雾，大直径呼吸阀，可以自如地大口呼吸,1918,健康,会自动贴脸的防霾口罩,14900,14900,口罩,医药保健,1,https://img01.yit.com/media/600288d4-47ab-4e2b-9212-a434d7f9c4d0.jpg,14155
9980,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,41616,萌动款电动口罩滤网,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=41616,医疗级滤芯，20个/盒，层层过滤毛发、粉尘、甲醛、PM2.5、游离的病菌,1918,健康,萌动款电动口罩滤网,10000,6000,口罩,医药保健,1,https://img01.yit.com/media/84fc1ada-b524-4ecb-b815-d3f2060c1057.jpg,5700
9936,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,41625,灵动款电动口罩滤网,1915,北京智罩环境科技有限公司,口罩,https://h5.yit.com/product.html?product_id=41625,医疗级滤芯，20个/盒，层层过滤毛发、粉尘、甲醛、PM2.5、游离的病菌,1918,健康,灵动款电动口罩滤网,10000,6000,口罩,医药保健,1,https://img01.yit.com/media/3194047a-8753-4fe0-ba1e-47b8083b748b.jpg,5700
20732,937,1919,18,医药保健,https://h5.yit.com//activity/4705.html,46598,日本高颜值口罩 3只装,1915,上海略道贸易有限公司,口罩,https://h5.yit.com/product.html?product_id=46598,众多明星、名模都在用，材质细腻贴合皮肤、透气性佳，佩戴完全不勒耳朵,1918,健康,日本高颜值口罩 3只装,6900,6900,口罩,医药保健,1,https://img01.yit.com/media/092aa269-4479-4340-ae5a-3f583fabae8f.com/yit-prod/apigw/cbd1899b-f2c3-4183-82e3-6eb004ef4601,6555
97,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,8485,德国Beurer温热垫,1915,贝博科技发展（北京）有限责任公司,家庭护理,https://h5.yit.com/product.html?product_id=8485,缓解生理期不适，有机纯棉，可机洗,1916,健康,德国Beurer温热垫,72900,48600,家庭护理,保健器材,1,https://img01.yit.com/media/90038274-41b6-418c-b281-1b6b36178190.jpeg,46170
166,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,10447,德国保暖腰带,1915,贝博科技发展（北京）有限责任公司,家庭护理,https://h5.yit.com/product.html?product_id=10447,改善腰背疼痛，内置可拆卸充电宝，材质亲肤，随时呵护腰腹，轻巧便携,1916,健康,德国保暖腰带,151400,100900,家庭护理,保健器材,1,https://img01.yit.com/media/0808e2aa-dc27-4b49-8054-eeec0be7934f.jpg,95855
937,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,38637,缓解鼻炎、哮喘的鼻吸器,1915,山东禾嘉电子科技有限公司,家庭护理,https://h5.yit.com/product.html?product_id=38637,欧洲流行上百年的盐疗法，内含罗马尼亚天然矿盐，盐盒可替换,1916,健康,缓解鼻炎、哮喘的鼻吸器,29900,29900,家庭护理,保健器材,1,https://img01.yit.com/media/ed4b23ad-a67a-4bea-b21a-73451969f4c6.jpg,28405
1603,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,38635,盐疗器配套盐盒,1915,山东禾嘉电子科技有限公司,家庭护理,https://h5.yit.com/product.html?product_id=38635,需配合盐疗器使用，内含罗马尼亚天然矿盐，附香条,1916,健康,盐疗器配套盐盒,19900,19900,家庭护理,保健器材,1,https://img01.yit.com/media/2805d2db-3a6f-45d2-a88a-951d3ab157f3.jpg,18905
552,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,40522,能提臀的智能按摩椅,1915,北京太火红鸟科技有限公司,家庭护理,https://h5.yit.com/product.html?product_id=40522,快速缓解腰酸背痛，模拟人体指压按摩，有效调整脊椎与骨盆形态,1916,健康,能提臀的智能按摩椅,139900,139900,家庭护理,保健器材,1,https://img01.yit.com/media/c6b851fd-53c9-4d08-8c37-ffc77805a828.jpeg,132905
99,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,8484,绑带式温热垫,1915,贝博科技发展（北京）有限责任公司,家庭护理,https://h5.yit.com/product.html?product_id=8484,能绑在腰部、腹部、膝盖，绑带式固定，缓解僵硬不适，90分钟后自动关闭,1916,健康,绑带式温热垫,104900,69900,家庭护理,保健器材,1,https://img01.yit.com/media/0cbeef86-b353-426c-ae83-2e3a111d22a8.jpg,66405
132,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,16583,便携保暖坐垫,1915,贝博科技发展（北京）有限责任公司,家庭护理,https://h5.yit.com/product.html?product_id=16583,舒缓疼痛，柔软耐磨，随时随地的温暖，整垫可机洗,1916,健康,便携保暖坐垫,128900,85900,家庭护理,保健器材,1,https://img01.yit.com/media/9bbf0fcd-ce33-4e8c-9f34-1d93601f2d49.jpg,81605
976,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,38636,缓解咽炎、哮喘的口吸器,1915,山东禾嘉电子科技有限公司,家庭护理,https://h5.yit.com/product.html?product_id=38636,欧洲流行上百年的盐疗法，内含罗马尼亚天然矿盐，盐盒可替换,1916,健康,缓解咽炎、哮喘的口吸器,29900,29900,家庭护理,保健器材,1,https://img01.yit.com/media/51423320-e88b-471f-834a-5897d34a1863.jpg,28405
98,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,54379,呼吸器更换滤网,1915,上海科拉瑞医疗科技有限公司,家庭护理,https://h5.yit.com/product.html?product_id=54379,适用于科拉瑞净化呼吸器，小小一片，能阻挡0.1微米的颗粒，滤出健康空气,1916,健康,呼吸器更换滤网,30000,30000,家庭护理,保健器材,1,https://img01.yit.com/media/50db0f2b-46ad-4c0c-939d-3270c59abfb7.jpg,28500
135,935,1917,10,保健器材,https://h5.yit.com//activity/4705.html,54381,戴在脸上的空气净化器,1915,上海科拉瑞医疗科技有限公司,家庭护理,https://h5.yit.com/product.html?product_id=54381,不会影响正常呼吸、说话，医用级硅胶面罩，安全无毒，可拆卸，方便清洗、消毒,1916,健康,戴在脸上的空气净化器,98000,83000,家庭护理,保健器材,1,https://img01.yit.com/media/160809cb-4a80-4bf0-b439-77e9445ff97e.jpg,78850
275,938,1919,90,医药保健,https://h5.yit.com//activity/4705.html,121218,叶黄素蓝莓护眼胶囊,1915,香港城港国际贸易有限公司,保健品,https://h5.yit.com/product.html?product_id=121218,富含叶黄素、花青素，缓解眼部疲劳，保护双眼视力,1918,健康,叶黄素蓝莓护眼胶囊,15800,8800,营养与保健,保健品,4,https://img01.yit.com/media/8d2fcc02-02fd-4309-95c0-492392d9a96d.jpeg,8360
